Metric,Parameter,ST_Initial,ST_Final,Delta_ST
PVR,E.LA.EA,0,0,0
PVR,vsd.Cd,0,0,0
QpQs,C.SVEN,0.110526007205922,0.297592248151525,0.187066240945603
QpQs,R.SVEN,0.0686397212522651,0.280458780228397,0.211819058976132
QpQs,R.SC,0.017928731812012,0.271133758508174,0.253205026696162
QpQs,C.SAR,0.0413924351145214,0.232597079371898,0.191204644257376
QpQs,C.PVEN,0.483822251841069,0.118898289613618,-0.364923962227451
QpQs,E.LV.EB,0.388122260438166,0.0562364168787797,-0.331885843559386
QpQs,R.PCOX,0.0027362534403366,0.0278641530329634,0.0251278995926268
QpQs,V0.LA,0.0101936427067941,0.0176690017547257,0.00747535904793158
QpQs,vsd.Cd,0.00346482864624805,0.0176690017547257,0.0142041731084776
QpQs,E.RV.EB,0.0102788482438248,0.0162797853942883,0.00600093715046344
QpQs,C.PAR,0.00414812867553763,0.0152657062968169,0.0111175776212792
QpQs,E.RA.EA,0.00356252265157472,0.0152657062968169,0.0117031836452421
QpQs,R.PVEN,0.0347250837714252,0,-0.0347250837714252
QpQs,E.LA.EA,0.00807318180821142,0,-0.00807318180821142
QpQs,R.SAR,0.00722887879668353,0,-0.00722887879668353
QpQs,E.LV.EA,0.00225138619657085,0,-0.00225138619657085
QpQs,E.RV.EA,0.000269761099922228,0,-0.000269761099922228
QpQs,R.PAR,0.000146275903709588,0,-0.000146275903709588
QpQs,V0.LV,0,0,0
QpQs,V0.RV,0,0,0
QpQs,V0.RA,0,0,0
RAP_mean,C.SVEN,0.225021223732516,0.427769770505489,0.202748546772973
RAP_mean,E.RV.EB,0.331085412807233,0.217062511514848,-0.114022901292385
RAP_mean,R.SVEN,0.228155399780777,0.146185302380818,-0.0819700973999595
RAP_mean,R.SC,0.0830382498186287,0.13925575142998,0.0562175016113518
RAP_mean,C.PVEN,0.0977447633998679,0.0327503732026368,-0.0649943901972311
RAP_mean,C.SAR,0.00862703917968412,0.0298167653747165,0.0211897261950323
RAP_mean,E.RV.EA,0.0258701447516836,0.0245020950028841,-0.00136804974879951
RAP_mean,E.LV.EA,0.0144028539321066,0.00929445156036068,-0.00510840237174594
RAP_mean,E.LV.EB,0.0205665540396186,0.00785343034543031,-0.0127131236941883
RAP_mean,R.PCOX,0.00971910424119124,0.00733547773218249,-0.00238362650900875
RAP_mean,C.PAR,0.00466738598592353,0.00503702700534497,0.000369641019421441
RAP_mean,vsd.Cd,0.00191167007763841,0.00226340569549915,0.000351735617860746
RAP_mean,V0.RV,0.00533186364991097,0.00222811129249534,-0.00310375235741563
RAP_mean,V0.RA,0.000468183741462075,0.00183364516746932,0.00136546142600724
RAP_mean,V0.LV,0.0038990648027724,0.0011693135613511,-0.0027297512414213
RAP_mean,R.SAR,0.00235382325986534,0.000505670862273993,-0.00184815239759135
RAP_mean,E.RA.EA,0.0042034104241042,0,-0.0042034104241042
RAP_mean,R.PAR,0,0,0
RAP_mean,R.PVEN,0,0,0
RAP_mean,E.LA.EA,0,0,0
RAP_mean,V0.LA,0,0,0
